title,employer,location,date_posted,posted,primary_field,category,preferred_education,salary,type,employment_type,job_description,employer_about,link
Visiting Assistant Professor of US History,Manhattan College,"Bronx, New York","November 2, 2017",Today,United States/North America,US/North America,Doctorate,Open,- Experienced,Full-Time Non-Tenure-Track Faculty,"The History Department at Manhattan College invites applications for a full-time, visiting assistant professor position in modern US history for a one-semester replacement in Spring 2018, with classes beginning January 17. Candidates must be able to teach post-1876 US history surveys, as well as a lower-division course in their area of specialization. Receipt of the PhD is preferred by the time of appointment. For more information visit us at https://manhattan.edu/academics/arts/history. Submit a letter of application, curriculum vitae, and a teaching portfolio to https://manhattan.clearcompany.com/careers/jobs/449735f9-59ef-ed7e-3182-4da2a3af6b3f/apply?source=646978-CS-27747and at least two letters of reference in PDF or Word format to Syrita Newman at syrita.newman@manhattan.edu.Contact Dr. Jennifer Edwards, history.chair@manhattan.edu, with questions. Review of applications will begin 1 December 2017 and continue until the position is filled. Manhattan College is an independent Catholic coeducational institution in the Lasallian tradition. We expect our faculty, administration, and staff to be knowledgeable about our mission and to make a positive contribution to the mission. Applicants from historically under-represented segments of the population are encouraged to apply, as well as those attracted to a college with a Catholic identity. We are committed to a diverse campus community. AA/EO Employer M/F/D/V",Manhattan College is a Lasallian Catholic College located in the Riverdale section of NYC.,http://careers.historians.org/jobs/10439117/visiting-assistant-professor-of-us-history
Mellon Junior Faculty Fellowship in Medieval Studies at Notre Dame's Medieval Institute,"Medieval Institute, University of Notre Dame","Notre Dame, Indiana","November 1, 2017",Yesterday,Open,Medieval/Byzantine,Doctorate,Open,- Experienced,Fellowship,"The University of Notre Dame invites applicants for a one-year Mellon Postdoctoral Fellowship in Medieval Studies. This Fellowship is designed for junior faculty who currently hold a position in a North American university as an assistant professor. It is open to qualified applicants in all fields of Medieval Studies. The fellowship holder will pursue research in residence at Notre Dame's famed Medieval Institute during the academic year 2018-19 (this is a nine-month position). The intent of this Fellowship is to enable its holders to complete research and writing on a book manuscript in advance of tenure. The Fellowship carries no teaching responsibilities, but holders are expected to participate in the multidisciplinary intellectual life of the Institute and to reside in South Bend. The Fellow will be provided with a private carrel in the Medieval Institute, enjoy full library and computer privileges, and have access to all the Institute’s research tools.   In addition, towards the conclusion of their residency the Fellow’s work will be at the center of a half-day conference. Three senior scholars, chosen in cooperation with the Medieval Institute, will be invited to campus for a half-day public seminar treating the subject matter of the Fellow’s research. The senior scholars will also read and discuss a draft version of the Fellow’s work in an extended private session, a one-to-one conversation following a close reading of the draft, with a view to improving the manuscript before its submission to a press. Eligibility: Mellon scholars must hold a tenure-track appointment at a U.S. institution, obviously with a completed Ph.D., and should not be more than six years beyond receiving their Ph.D. at the time of application. Stipend: $50,000 (paid directly to Fellow’s home institution).  Application deadline: February 1, 2018. Apply at http://apply.interfolio.com/46048.","The Medieval Institute at the University of Notre Dame promotes research and teaching on the multiple cultures, languages, and religions of the medieval period. Offering both undergraduate and Ph.D. programs, the Institute facilitates the activities of the largest contingent of medievalists at any North American university. Over sixty faculty medievalists, from thirteen different departments, crea...te a vibrant, interdisciplinary, intellectual community that sponsors frequent speakers, conferences, and other events. The outstanding medieval studies library collection attracts researchers from around the world.
			Show more
			Show less",http://careers.historians.org/jobs/10435210/mellon-junior-faculty-fellowship-in-medieval-studies-at-notre-dame-s-medieval-institute
Assistant Professor in US History,Midwestern State University,"Wichita Falls, Texas","November 1, 2017",Yesterday,United States/North America,US/North America,Doctorate,Starting at 50000.00,- Experienced,Full-Time Tenure-Track/Tenured Faculty,"Assistant Professor, tenure-track, starting Fall, 2018. Required: PhD by August, 2018. United States History prior to 1865, specialization open. Must have experience teaching American History survey courses; ability to teach online a plus. Demonstration of teaching excellence preferred, as is publication, or strong promise of publication. MSU is a public liberal arts university offering the BA and MA, and is a member of COPLAC in a city of 104,000 two hours from Dallas/Fort Worth and Oklahoma City. This position is designated as security sensitive and requires the finalist to complete a criminal background check. An ADAAA/EEO Compliance Employer. Send letter, CV, and request three reference letters be sent by February 1, 2018, to Dr. Harry P. Hewitt, Chairman, History Department, Midwestern State University, 3410 Taft Blvd., Wichita Falls, TX, 76308-2099. harry.hewitt@mwsu.edu, www.mwsu.edu    

						
							
								
								 
							
						
							
								Internal Number: 172761","The Midwestern State University History Department provides a broad range of courses to prepare students for a career and/or graduate studies. We offer courses and programs in U.S., European, and Latin American History. The advanced classes are usually small, and the faculty works closely with students - often on an individual basis.",http://careers.historians.org/jobs/10435049/assistant-professor-in-us-history
"Assistant Professor, Tenure Track, US Diplomatic/ Foreign Relations History",University of Central Florida,"Orlando, Florida","November 1, 2017",Yesterday,United States/North America,Diplomacy/International Relations,,Open,- Experienced,Full-Time Tenure-Track/Tenured Faculty,"The University of Central Florida is seeking applications for a nine-month, tenure-track assistant professor position in United States 20th-Century Diplomatic History/Foreign Relations beginning in August 2018. The successful candidate will be required to teach the department’s Diplomatic History sequence (Diplomatic History 1914-1945 and US as a Great Power 1945-Present). Candidate should have publishing and teaching experience in the field. Preference will be given to candidates with a secondary field in 20th Century US Politics, US Cold War Culture, or the Global South. UCF is a growing metropolitan university with an enrollment of over 64,000 that has maintained an atmosphere of personal instruction. The department offers a B.A. and M.A. in History and offers a public history component as part of its curriculum. The History Department takes pride in its reputation for quality instruction and publication. For more information see http://history.cah.ucf.edu/. Minimum Requirements: Ph.D. in History or a related field from an accredited institution is required at the time of hire. Publishing and teaching experience in the field. Preference will be given to candidates with a secondary field in 20th Century US Politics, US Cold War Culture, or the Global South. Applicants are required to apply online at www.jobswithucf.com To apply for this position, applicants must submit the following: a letter of application, curriculum vitae, statement of teaching philosophy, and any other supporting material. Note: Please have all documents ready when applying so they can be attached at that time. Once the online submission process is finalized, the system does not allow applicants to submit additional documents at a later date. In addition, please have three confidential letters of reference sent to: Attn: Dr. John M. Sacher Search Committee Chair-U.S. Diplomatic History University of Central Florida History Department 12790 Aquarius Agora Dr. Suite 551 Orlando, FL 32816-1350 Upon hire, the selected candidate will need to provide official transcripts. To ensure full consideration, all materials listed above should be filed by December 7 when review of applicants will begin. Any questions should be directed to John Sacher, Search Committee Chair at john.sacher@ucf.edu.  

						
							
								
								 
							
						
		
			NOTES:
			
				Additional Salary Information: Negotiable 
			
		
	
							
								Internal Number: 33178","UCF is a growing metropolitan university with an enrollment of over 60,000 that has maintained an atmosphere of personal instruction. The department offers a B.A. and M.A. in history and offers a public history component as part of its curriculum. The History Department takes pride in its reputation for quality instruction and publication. For more information see www.history.cah.ucf.edu.",http://careers.historians.org/jobs/10434620/assistant-professor-tenure-track-us-diplomatic-foreign-relations-history
Religions in the Americas,University of Chicago Divinity School,"Chicago, Illinois","October 31, 2017",2 Days Ago,Religious,"Native American/Pre-Columbian, Religious/Church, US/North America",Doctorate,Open,- Entry Level,Full-Time Tenure-Track/Tenured Faculty,"Religions in the Americas The University of Chicago Divinity School seeks to make an appointment in Religions in the Americas, effective July 1, 2018.  Rank and salary are open.  Junior candidates are particularly encouraged to apply. Religions in the Americas is an interdisciplinary area of graduate study that investigates religious ideas, practices, institutions, and movements in North and South America. The area brings together faculty and students with historical, sociological, ethnographic, literary, legal, demographic, comparative, and theoretical interests in religions in the Americas.   The candidate for this position must hold the Ph.D. by the time of the appointment, and must be qualified to teach and to direct research in religious history broadly construed. Area of specialization, both in terms of religious traditions or movements, chronological periods, and disciplinary focus, is open. A coherent and creative agenda for research and publication, and a capacity for intellectual leadership, are essential.  Familiarity with issues of theory and method in the study of religion is desirable.  The Divinity School is the graduate professional school for the academic study of religion at the University of Chicago, a private research university.  Faculty in the School teach Ph.D. students in 11 different areas of study, and master’s level students in M.A. and M.Div. programs, offering courses at the introductory, intermediate, and advanced levels.  Many faculty hold associate appointments in other departments and schools of the University; such associations are encouraged.  A normal teaching load is 4 courses per year on a quarter system; in most cases that leaves one quarter open for research in residence (in addition to summer free for scholarship). Applications will be accepted until November 12, 2017.  Application should be made online, at https:\\academiccareers.uchicago.edu/applicants/Central?quickFind=55286   Applicants should submit a cover letter, CV, a teaching statement, a research statement, and a writing sample of 25-40 pages. Three reference letters are required.  Reference letter submission information will be provided during the application process. The University of Chicago is an Affirmative Action/Equal Opportunity/Disabled/Veterans Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national or ethnic origin, age, status as an individual with a disability, protected veteran status, genetic information, or other protected classes under the law. For additional information please see the University's Notice of Nondiscrimination at http://www.uchicago.edu/about/non_discrimination_statement/. Job seekers in need of a reasonable accommodation to complete the application process should call 773-702-0287 or email ACOppAdministrator@uchicago.edu with their request.","The Divinity School is the graduate professional school for the academic study of religion at the University of Chicago, a private research university. Faculty in the School teach Ph.D. students in eleven areas of study, and Master’s students in M.A., M.Div., and A.M.R.S. programs, offering courses at the introductory, intermediate, and advanced levels. Undergraduate teaching is optional, but enco...uraged. Many faculty hold associate appointments in humanities or social science departments and professional schools of the University; such associations are likewise encouraged. A normal teaching load is four courses per year on a quarter system; in most cases that leaves one quarter open for research in residence (in addition to summers free for scholarship).
			Show more
			Show less",http://careers.historians.org/jobs/10430619/religions-in-the-americas
History of Religions,University of Chicago Divinity School,"Chicago, Illinois","October 31, 2017",2 Days Ago,Religious,"Religious/Church, World/Global",Doctorate,Open,- Entry Level,Full-Time Tenure-Track/Tenured Faculty,"The University of Chicago Divinity School seeks to make an appointment (tenured or tenure-track) in the History of Religions, effective July 1, 2018. Rank and salary are open. Junior candidates are encouraged to apply; all applicants will be given the most serious consideration. The History of Religions approaches the study of religion with a principled commitment to comparative, theoretical reflection on concept formation in the field, which informs and is informed by disciplined analysis of empirical data generated by philological, ethnographic, or other archival inquiry. Successful applicants consequently will demonstrate both significant engagement with a body (or bodies) of theory and at least one area of specialization (either geographically- or traditionally-defined). Candidates are also expected to evince familiarity with the development of the History of Religions as an academic field, and to be prepared to teach courses in either classical or contemporary theories of religion. The candidate for this position must hold the Ph.D. by the time of appointment, and must be qualified to teach and to direct research in the study of religion broadly construed. Area of specialization, both in terms of religious traditions or movements, chronological periods, and disciplinary focus, is open. The Divinity School is the graduate professional school for the academic study of religion at the University of Chicago, a private research university. Faculty in the School teach Ph.D. students in eleven areas of study, and Master’s students in M.A., M.Div., and A.M.R.S. programs, offering courses at the introductory, intermediate, and advanced levels. Undergraduate teaching is optional, but encouraged. Many faculty hold associate appointments in humanities or social science departments and professional schools of the University; such associations are likewise encouraged. A normal teaching load is four courses per year on a quarter system; in most cases that leaves one quarter open for research in residence (in addition to summers free for scholarship). Applications will be accepted until January 3, 2018; though review of applications will commence in earnest November 1, 2017. Applicants should submit a letter of interest, CV, a teaching statement, a statement articulating future research agenda, a writing sample of 25-40 pages, and three letters of reference (or, for associate or full professor rank, the names of three references should be provided instead in a reference contact page). Application should be made online, at https://academiccareers.uchicago.edu/applicants/Central?quickFind=55300 The University of Chicago is an Affirmative Action/Equal Opportunity/Disabled/Veterans Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national or ethnic origin, age, status as an individual with a disability, protected veteran status, genetic information, or other protected classes under the law. For additional information please see the University's Notice of Nondiscrimination at http://www.uchicago.edu/about/non_discrimination_statement/. Job seekers in need of a reasonable accommodation to complete the application process should call 773-702-0287 or email ACOppAdministrator@uchicago.edu with their request.","The Divinity School is the graduate professional school for the academic study of religion at the University of Chicago, a private research university. Faculty in the School teach Ph.D. students in eleven areas of study, and Master’s students in M.A., M.Div., and A.M.R.S. programs, offering courses at the introductory, intermediate, and advanced levels. Undergraduate teaching is optional, but enco...uraged. Many faculty hold associate appointments in humanities or social science departments and professional schools of the University; such associations are likewise encouraged. A normal teaching load is four courses per year on a quarter system; in most cases that leaves one quarter open for research in residence (in addition to summers free for scholarship).
			Show more
			Show less",http://careers.historians.org/jobs/10430584/history-of-religions
Assistant Professor in African History,East Tennessee State University,"Johnson City, Tennessee","October 31, 2017",2 Days Ago,Africa,Africa,Doctorate,Starting at 52000.00,- Entry Level,Full-Time Tenure-Track/Tenured Faculty,"East Tennessee State University is seeking an African Historian: Teach the World History survey course, and appropriate upper-division courses and graduate courses in areas of specialization; chair M.A. thesis committee; maintain an active record of research, publication, and other scholarly endeavors; and participate actively in departmental, college, and university service. An earned doctorate from an accredited institution in African history, preferably with a minor field in European history (France, but others will be considered); a record of and/or potential for excellence in teaching, research/scholarly activity; ability to teach historical methods. Ph.D. required by start date. The position carries the expectation of committee work, service, and a record of research in order to secure tenure. The Department encourages applications from women and members of minority groups. An earned doctorate from an accredited institution in History with a specialization in African World/World History/European History (World is preferred; European fields will be considered); a record of and/or potential for excellence in teaching, research/scholarly activity, and service; training and/or experience in teaching social studies at the secondary level. Applicants must have a Ph.D. in hand by August 15, 2018, along with clear evidence of teaching effectiveness and an active research agenda. Advanced ABDs will be considered, but must have a Ph.D. in hand by August 15, 2018. Review of applications will begin November 15, 2017 and continue until January 5, 2018. Submit evidence of research and teaching experience along with an ETSU application, personal letter of application, CV, and three letters of recommendation through https://jobs.etsu.edu. Recommendation letters may also be submitted to Dr. Daryl Carter, Search Committee Chair, Department of History, East Tennessee State University, Box 70672, Johnson City, TN 37614-1709 email: carterda@etsu.edu. AA/EOE. Women and minority candidates are encouraged to apply.  

						
							
								
								 
							
						
							
								Internal Number: F00104P",East Tennessee State University,http://careers.historians.org/jobs/10430710/assistant-professor-in-african-history
"Lecturer in History at NJIT (non-tenure track, renewable)",New Jersey Institute of Technology (NJIT),"Newark, New Jersey","October 31, 2017",2 Days Ago,World/Global,World/Global,,Open,- Experienced,Full-Time Non-Tenure-Track Faculty,"Lecturer in History at NJIT(non-tenure track, renewable) The Federated Department of History at the New Jersey Institute of Technology (NJIT) and Rutgers University, Newark invites applications for a non-tenure track, renewable lectureship in history, based at NJIT, to begin either in January 2018 or September 2018. We seek an outstanding, dedicated teacher who can offer a range of undergraduate courses at NJIT, including upper-level electives in history and writing-intensive senior history seminars on topics of special interest. Teaching load is four courses per semester. Chronological/geographical area(s) of expertise are open, but the successful candidate must be able to teach introductory courses on the 20th century world or the history of technology in the United States. This lecturer will support the Federated History Department's initiatives in the History of Technology, Environment and Medicine/Health and the undergraduate program in Law, Technology and Culture (LTC). NJIT and the Newark campus of Rutgers University are located across the street from each other in the vibrant University Heights district of downtown Newark, just 20 minutes by train from New York City. Evidence of effective teaching, with Ph.D. in hand by August 2018 is required. For more information and to apply, please visit http://jobs.njit.edu and search for req20. You will need to submit a cover letter describing your teaching experiences and research interests, C.V., and sample syllabus for an undergraduate history class. Three confidential letters of recommendation and any inquiries about the position should be sent to the search committee chair, Professor Stephen Pemberton at: history.faculty@njit.edu. Review of applications will begin October 23, 2017 and continue until the position is filled. To build a diverse workforce, NJIT encourages applications from individuals with disabilities, minorities, veterans and women. EEO employer. NEW JERSEY INSTITUTE OF TECHNOLOGYUniversity Heights, Newark, NJ 07102-1982Apply HerePI99987757",,http://careers.historians.org/jobs/10431152/lecturer-in-history-at-njit-non-tenure-track-renewable
Director of Master of Heritage Preservation (MHP) program,Georgia State University,"Atlanta, Georgia","October 30, 2017",3 Days Ago,United States/North America,"Historic Preservation, Humanities",Masters,Open,- Experienced,"Full-Time Tenure-Track/Tenured Faculty, Full-Time Non-Tenure-Track Faculty","Director of Master of Heritage Preservation (MHP) program. Georgia State University’s Department of History invites applications for a full-time faculty/administrative position at the rank of Lecturer or Assistant Professor to direct the MHP program, a masters-level degree program with tracks in historic preservation and public history. We are seeking a creative leader who is committed to enhancing a dynamic program rooted in community-engaged scholarship that prepares students for a wide variety of career paths in history. Required qualifications are academic and/or professional experience in historic preservation and public history, experience with community engagement, and PhD or terminal degree in Historic Preservation or closely related field. Teaching responsibilities include courses in historic preservation. Preferred qualifications include administrative experience and familiarity with digital tools and methods. The new director will have an opportunity to build community collaborations, lead in the development of curriculum for BA students interested in public history/preservation, and contribute to the History department’s strategic goal to train all history students for diverse career outcomes. Located in the heart of one of the largest metropolitan areas in the Southeastern U.S., GSU’s MHP program emphasizes a combination of training in academic historical research with the applied skills of preservation and public history, and provides all students an opportunity to engage in real world projects in preservation, planning, and exhibitions in the Atlanta metro area. Our program has a well-established internship program and a strong record of post-graduation placement in Atlanta and beyond. In addition to the administrative tasks of recruitment, advising, and teaching associated with directing the program, the Director is responsible for maintaining and enhancing GSU’s network of existing partnerships in the metro area with non-profits, museums, neighborhoods and local governments. Knowledge of preservation and public history activities in the Atlanta metropolitan area and/or Georgia is therefore particularly welcome. Both the lecturer position and the tenure-track assistant professor position are full-time, regular faculty appointments. Eligibility for either track will be determined by the candidate’s research and professional profile. Complete applications, including a cover letter, current cv, and three letters of reference, should be submitted by November 20 to ensure fullest consideration. Applications and questions about the position should be addressed to: Dr. Kathryn Wilson, Chair, Search Committee, Department of History, GSU, P.O. Box 4117, Atlanta, GA 30302 (kewilson@gsu.edu). Georgia State University is an Equal Opportunity Employer and does not discriminate against applicants due to race, ethnicity, gender, veteran status, or on the basis of disability or any other federal, state or local protected class. The Department of History is committed to increasing the diversity of its faculty and strongly encourages applications from individuals in under-represented groups.",Georgia State University,http://careers.historians.org/jobs/10427355/director-of-master-of-heritage-preservation-mhp-program
RAND Corporation Internship - Graduate Student Summer Associate Program,RAND Corporation,"Nationwide, United States","October 27, 2017",6 Days Ago,United States/North America,"Diplomacy/International Relations, US/North America, World/Global",Doctorate,Open,- Internship,Internship,"RAND's Summer Associate Program introduces outstanding graduate students conducting national security-related work in political science; history; public policy; public administration; international relations; or area studies to the RAND Corporation, an institution that conducts research on a wide range of domestic and international social policy issues as well as national security problems. RAND advises a variety of defense clients on policy-level decisions relating to defense programs, military systems, future force structure and doctrine, homeland security, and national military strategy. Working with multi­disciplinary teams, national security researchers apply quantitative and qualitative skills to analyze policy problems of national and international importance, and communicate the results of these analyses to decision makers. Summer Associates experience the following at RAND:  Typically work at RAND for a 12-week period during the summer; Receive a bi-weekly paycheck during their assignment with RAND; Conduct research that can be completed during their time at RAND and present the results of this research to the RAND community via a 15-30 minute briefing at the end of their three-month assignment; Are closely mentored by one to two established RAND researchers; May be located in Santa Monica, CA, Washington, D.C., or Pittsburgh, PA depending on the match with mentors; Are highly encouraged to network and interact with other researchers outside of their primary mentorship team and area of expertise; Are invited to attend a number of seminars from researchers both within and outside of RAND.   

						
							
								
								The position is designed for full-time doctoral students in political science, history, public policy, public administration, international relations or area studies or other related fields who: (1) have completed at least two years of graduate work leading to a doctorate or professional degree (e.g., law or medical degree); and (2) are within two years of completion of this doctorate or degree. A keen interest in working on applied, policy-oriented research questions is necessary. Applicants are strongly encouraged to explore RAND's website (www.rand.org) for details on RAND's ongoing research portfolio. Unfortunately, we do not know in advance which projects may require summer associates. In connection with national security or defense projects, many positions require that applicants be eligible to receive, or currently hold, a security clearance from the United States government. Additional qualifications required:  Excellent analytic skills; Proven ability in quantitative and/or qualitative research methods; Ability to communicate clearly and effectively in English, both verbally and in writing; Ability to work effectively as a member of a multidisciplinary team; Strong commitment to RAND's core values of quality and objectivity; Proof of legal right to work in the United States is required upon hire; U.S. Citizenship is not necessary except for positions that require a U.S. government security clearance.  Who is not eligible?The program is not open to (1) undergraduates; (2) students graduating prior to the summer of employment; (3) post-doctoral fellows; or (4) master's degree students. To apply, please go to http://www.rand.org/jobs/id4990. All applications must be submitted on line. Please submit only one application. All applications are due by December 4, 2017. For more information about our program, please go to https://www.rand.org/about/edu_op/fellowships/gsap.html.","The RAND Corporation is a research organization that develops solutions to public policy challenges to help make communities throughout the world safer and more secure, healthier and more prosperous. RAND’s research and analysis address issues that impact people everywhere, including security, health, education, sustainability, growth, and development. Headquartered in Santa Monica, California, RA...ND has approximately 1,700 people from more than 45 countries working in offices in North America, Europe and Australia, with annual revenues of more than $260 million.

RAND is nonprofit, nonpartisan, and committed to the public interest.  Our research is sponsored by government agencies, foundations, other nonprofit organizations, and the private sector. We rely on philanthropic support to reach beyond the scope of client-sponsored work to tackle questions that may be too big, too complex, or too new for our clients to address. RAND values objectivity and integrity in both its research processes and internal interactions. We emphasize a collegial environment that respects the contributions and dignity of all staff.
			Show more
			Show less",http://careers.historians.org/jobs/10417098/rand-corporation-internship-graduate-student-summer-associate-program
